method_id,seed,step,mean_reward,max_reward,hard_filter_fraction,mean_kl,mean_entropy,archive_size
A1_uv_only_rl,1701,21,0.2402181625366211,0.46976447105407715,0.90625,0.14507535099983215,0.9603594541549683,971
A1_uv_only_rl,1701,22,0.22429627180099487,0.4903562366962433,0.84375,0.14553681015968323,0.9711201190948486,1025
A1_uv_only_rl,1701,23,0.21481940150260925,0.47574394941329956,0.890625,0.14328372478485107,0.9629665613174438,1080
A1_uv_only_rl,1701,24,0.2293848842382431,0.4929679334163666,0.890625,0.1498054414987564,0.954380452632904,1135
A1_uv_only_rl,1701,25,0.25798043608665466,0.4897753596305847,0.9375,0.15040192008018494,0.9653891921043396,1194
A1_uv_only_rl,1701,26,0.25216197967529297,0.48555347323417664,0.890625,0.15139958262443542,0.9384453296661377,1248
A1_uv_only_rl,1701,27,0.21316462755203247,0.4743186831474304,0.859375,0.1610279083251953,0.9385024309158325,1300
A1_uv_only_rl,1701,28,0.19587081670761108,0.4713742733001709,0.828125,0.16235461831092834,0.9358313679695129,1349
A1_uv_only_rl,1701,29,0.2459758073091507,0.47442731261253357,0.875,0.18145951628684998,0.9354264736175537,1403
A1_uv_only_rl,1701,30,0.2579961121082306,0.45082318782806396,0.890625,0.18325775861740112,0.8782938122749329,1458
A1_uv_only_rl,1701,31,0.23097912967205048,0.4968303442001343,0.921875,0.18039357662200928,0.9244788289070129,1512
A1_uv_only_rl,1701,32,0.2471698820590973,0.48597705364227295,0.890625,0.20308324694633484,0.8758533000946045,1565
A1_uv_only_rl,1701,33,0.22843459248542786,0.4289249777793884,0.890625,0.19844861328601837,0.8735013604164124,1619
A1_uv_only_rl,1701,34,0.2505421042442322,0.4934847354888916,0.875,0.18502721190452576,0.862209141254425,1674
A1_uv_only_rl,1701,35,0.23753854632377625,0.47156810760498047,0.921875,0.20620031654834747,0.8813788890838623,1727
A1_uv_only_rl,1701,36,0.23625177145004272,0.4769763946533203,0.84375,0.1930810809135437,0.8656930327415466,1778
A1_uv_only_rl,1701,37,0.2313585877418518,0.49404335021972656,0.84375,0.21077662706375122,0.8504000306129456,1831
A1_uv_only_rl,1701,38,0.247127503156662,0.49504610896110535,0.859375,0.19714489579200745,0.8473398089408875,1882
A1_uv_only_rl,1701,39,0.24501629173755646,0.4824286997318268,0.890625,0.21059231460094452,0.8221733570098877,1934
A1_uv_only_rl,1701,40,0.25657787919044495,0.4609302580356598,0.953125,0.20096445083618164,0.8201462030410767,1993
A1_uv_only_rl,1701,41,0.2565731704235077,0.48657235503196716,0.96875,0.21004314720630646,0.831404447555542,2051
A1_uv_only_rl,1701,42,0.27428755164146423,0.4754642844200134,0.890625,0.18905600905418396,0.8397311568260193,2108
A1_uv_only_rl,1701,43,0.2673063576221466,0.4826717972755432,0.90625,0.1955079436302185,0.8407118916511536,2163
A1_uv_only_rl,1701,44,0.2603394389152527,0.4687420129776001,0.921875,0.19317880272865295,0.8483240008354187,2219
A1_uv_only_rl,1701,45,0.213140606880188,0.49926480650901794,0.78125,0.20469173789024353,0.8418395519256592,2266
A1_uv_only_rl,1701,46,0.2216583788394928,0.48813942074775696,0.75,0.19843997061252594,0.8351910710334778,2308
A1_uv_only_rl,1701,47,0.29082468152046204,0.4796447455883026,0.953125,0.21007853746414185,0.8475635051727295,2364
A1_uv_only_rl,1701,48,0.2494519054889679,0.5017009377479553,0.859375,0.21022993326187134,0.8536807894706726,2416
A1_uv_only_rl,1701,49,0.26235339045524597,0.4888649880886078,0.84375,0.20586739480495453,0.8392866849899292,2468
A1_uv_only_rl,1701,50,0.28274664282798767,0.49505117535591125,0.96875,0.210263192653656,0.8177168369293213,2524
A1_uv_only_rl,1701,51,0.275139182806015,0.5027446746826172,0.921875,0.2039455771446228,0.8465449810028076,2581
A1_uv_only_rl,1701,52,0.2793489992618561,0.4876146912574768,0.953125,0.20046526193618774,0.861657440662384,2638
A1_uv_only_rl,1701,53,0.2512480616569519,0.48704707622528076,0.890625,0.19333550333976746,0.8462451696395874,2690
A1_uv_only_rl,1701,54,0.2896585166454315,0.5056430697441101,0.921875,0.198649063706398,0.8197327852249146,2746
A1_uv_only_rl,1701,55,0.2851634621620178,0.5004538893699646,0.90625,0.19119757413864136,0.8315574526786804,2802
A1_uv_only_rl,1701,56,0.26169127225875854,0.4974137842655182,0.90625,0.19944117963314056,0.82139652967453,2855
A1_uv_only_rl,1701,57,0.2813437283039093,0.4900202453136444,0.96875,0.1897905319929123,0.8192857503890991,2912
A1_uv_only_rl,1701,58,0.2773508131504059,0.4973260462284088,0.90625,0.20457610487937927,0.8264790773391724,2967
A1_uv_only_rl,1701,59,0.2890913486480713,0.4985641837120056,0.921875,0.2087228000164032,0.8257870078086853,3023
A1_uv_only_rl,1701,60,0.2882067859172821,0.4776834547519684,0.953125,0.21493902802467346,0.8375844359397888,3081
M1_joint_rl,1702,1,0.07400267571210861,0.22032299637794495,0.53125,0.0,1.1689478158950806,34
M1_joint_rl,1702,2,0.06201205030083656,0.23251184821128845,0.46875,0.0016369837103411555,1.1204099655151367,64
M1_joint_rl,1702,3,0.0842875987291336,0.28438499569892883,0.59375,0.005217946134507656,1.1227141618728638,102
M1_joint_rl,1702,4,0.0970788523554802,0.27083316445350647,0.640625,0.011824526824057102,1.1235507726669312,143
M1_joint_rl,1702,5,0.096897192299366,0.2765209376811981,0.640625,0.0236971415579319,1.1171324253082275,184
M1_joint_rl,1702,6,0.11057344824075699,0.2890993654727936,0.6875,0.04080420359969139,1.1420319080352783,228
M1_joint_rl,1702,7,0.11702235788106918,0.2674313485622406,0.703125,0.06259506940841675,1.1559433937072754,272
